,Company,Experience Req.,Skills,Date,Link
0,Surya Informatics Solutions Pvt. Ltd.,0 - 3 yrs,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Posted few days ago,https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
1,Perfios Software,5 - 8 yrs,"python,java,scala",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-perfios-software-bengaluru-bangalore-5-to-8-yrs-jobid-5GGtzEeKMXxzpSvf__PLUS__uAgZw==&source=srp
2,Ivan Infotech Pvt. Ltd.,2 - 5 yrs,"rest,python,security,debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
3,GEMINI SOFTWARE SOLUTIONS,5 - 8 yrs,"python,docker,django,git,linux",Posted few days ago,https://www.timesjobs.com/job-detail/python-finance-gemini-software-solutions-gurgaon-5-to-8-yrs-jobid-Z4g__SLASH__CwHoUCJzpSvf__PLUS__uAgZw==&source=srp
4,quality thought,2 - 5 yrs,"rest,python,django,informationtechnology",Posted few days ago,https://www.timesjobs.com/job-detail/python-django-quality-thought-hyderabad-secunderabad-2-to-5-yrs-jobid-A0WJWgCiZSRzpSvf__PLUS__uAgZw==&source=srp
5,east india securities ltd.,2 - 5 yrs,"python,hadoop,machinelearning",Posted few days ago,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
6,techvantage systems,3 - 6 yrs,"rest,python,devops,debugging,shellscripting,storage",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-techvantage-systems-thiruvananthapuram-3-to-6-yrs-jobid-T6TdqoXKABlzpSvf__PLUS__uAgZw==&source=srp
7,JobsLo Consultants,2 - 3 yrs,"python,linux,windows,sql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-jobslo-consultants-indore-2-to-3-yrs-jobid-XP1detWpoa5zpSvf__PLUS__uAgZw==&source=srp
8,sjain ventures,0 - 3 yrs,"python,webdeveloper,webservices",Posted few days ago,https://www.timesjobs.com/job-detail/python-intern-sjain-ventures-raipur-0-to-3-yrs-jobid-KmspiL9__SLASH__D9hzpSvf__PLUS__uAgZw==&source=srp
9,art technology and software india pvt ltd,2 - 3 yrs,"rest,python,database,django,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
10,systango,5 - 8 yrs,"python,django,javascript,webprogramming",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-systango-indore-5-to-8-yrs-jobid-YtDomXdajg5zpSvf__PLUS__uAgZw==&source=srp
11,TandA HR Solutions,3 - 6 yrs,"Python,Django,Flask,unittesting",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-yhy9asKbR4VzpSvf__PLUS__uAgZw==&source=srp
12,TandA HR Solutions,4 - 6 yrs,"python,git,django,GITHub",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-RxlCUMDjB7dzpSvf__PLUS__uAgZw==&source=srp
13,TandA HR Solutions,3 - 6 yrs,"Python,Django,Flask,GITHub",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-EAm60cv2FrxzpSvf__PLUS__uAgZw==&source=srp
14,GS LAB,1 - 3 yrs,"python,git,restapi,linux",Posted few days ago,https://www.timesjobs.com/job-detail/python-engineer-gs-lab-pune-1-to-3-yrs-jobid-5Z02nB2HYVlzpSvf__PLUS__uAgZw==&source=srp
15,young minds technology solutions pvt ltd,0 - 3 yrs,"python,html5,storage,javascript,security,django",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-NDA__SLASH__WwOTUCFzpSvf__PLUS__uAgZw==&source=srp
16,Gemini Solutions,5 - 8 yrs,"python,mobile,docker,django,git,linux,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-finance-gemini-solutions-gurgaon-5-to-8-yrs-jobid-SmdxphEtGs5zpSvf__PLUS__uAgZw==&source=srp
